"Site_id","Round","links_sps","num_compartments","NODF","link_dens","weigh_connectance","Shannon","int_evenness","Alatalo_int_evenness","H2","species.poll","species.pl","niche.overlap.poll","niche.overlap.plant","functional.comp.poll","functional.comp.plant","modularity","z","links.corr","nodf.corr","linkdens.corr","conn.corr","ala.corr","h2.corr","V26","V27"
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-15.7784170382893,-1.86756145685931,-9.00448947318566,-12.2665919800696,-32.3041662748507,-34.0078797328911,-34.8492199977254,-0.714494391948346
"Villamanriqueeste","4",0.888888888888889,3,4.88888888888889,8.03475167784568,0.297583395475766,3.07480570710049,0.635778841320413,0.893380508934666,0.454803508424257,21,6,0.759863945578231,0.0833681280445372,9.78456789296247,19.393904228469,"0.244082","0.783633310476378",-22.6408969363288,3.13906145738187,-9.8075051864195,-17.5446734687894,-60.4847867530404,-62.9238136188205,-75.2078183953477,-1.93700358753563
"Villamanriqueeste","7",0.91304347826087,2,5.23891767415083,4.93232837381189,0.214449059730952,2.96839189154196,0.724998066584544,0.90898931288506,0.768206250154534,20,3,0.445748987854251,0.0549803641556587,11.2525026824304,15.0256828199635,"0.518519","1.08285058090162",-21.6716986642656,2.92723951042559,-11.3731748771142,-16.0910541911951,-49.8231253554323,-52.0665191803897,-31.2772330341332,-1.66671417778078
"PinaresdeHinojos","1",0.5,2,0,1,0.25,0.693147180559945,0.5,1,NA,2,2,0,0,2.82842712474619,2.82842712474619,"0.5","NaN",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"PinaresdeHinojos","2",0.571428571428571,3,0,1.25,0.178571428571429,1.38629436111989,0.55788589130226,1,NA,4,3,0.166666666666667,0,4.24264068711929,4.87831517751085,"0.625","NaN",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"PinaresdeHinojos","3",0.761904761904762,5,0,2.60793072719197,0.124187177485332,2.75166661693152,0.600149647676317,0.96876363728338,0.333333333333333,14,7,0.225274725274725,0.0214285714285714,12.5215770051287,14.5103511919303,"0.67128","0.215700667782872",-25.6166775304382,NA,-11.8966067773774,-14.380350327084,-52.1315830256615,-54.2830999949168,-54.6010203891936,-0.598431449222022
"PinaresdeHinojos","4",0.714285714285714,4,0,2.45454545454545,0.175324675324675,2.27186851269656,0.596813749262451,0.955181221416449,0.5,9,5,0.37037037037037,0.0285714285714286,8.40689139526591,10.4094192321447,"0.595041",NA,-16.4328765010809,NA,-7.41314416787528,-9.69236494709606,-28.0212448859126,-29.6962996493467,-39.6025085120411,-0.368003435925914
"PinaresdeHinojos","5",0.777777777777778,2,0,2.28571428571429,0.253968253968254,1.94591014905531,0.737350464962806,1,NA,7,2,0.428571428571429,0,2.82842712474619,5.29150262212918,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
",-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA
"PinaresdeHinojos","6",0.75,2,0,2,0.25,1.79175946922805,0.72105705434887,1,NA,6,2,0.4,0,2.82842712474619,4.89897948556636,"Error in try(mod@likelihood, TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
","Error in try((mod@likelihood - mean(like.nulls))/sd(like.nulls), TRUE) : 
  trying to get slot \"likelihood\" from an object of a basic class (\"NULL\") with no slots
